,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Cap Weighted Composite_Index,1.0,0.012055276732414156,-0.8094376249529347,0.5310909904348954,0.5123146578221318,0.7457050361054156,-0.49781732826922115,0.67260191381389,0.7137954532047861,-0.893320554304806,0.960589204622529,0.9275058227289582,0.9521270128404818,0.41690862239796106,0.7646279162586485,0.6989989723826926,0.9702940933462433,0.9707448737880442,0.7602768603867781,0.8262524343670223,-0.0367543744773318,-0.11024417642447278,0.002795605813577452,0.029702758140559577
Total Vehicle Sales,0.012055276732414156,1.0,0.2946316413276407,-0.08620060507383703,-0.08530008255146837,0.47877508230551946,-0.6271042002030642,-0.2970112778467275,0.16844954756691874,0.1750864654241038,0.10528612438058826,-0.10496807016217546,0.09865333346975656,0.647992637572564,0.07285251998388431,0.3744420869071592,0.08160635778201739,0.041013547983888184,0.4060967034738846,-0.21310444658018257,-0.42100786342191443,-0.4158859211474087,-0.4161843416426618,-0.3739718664525264
Domestic Auto Production,-0.8094376249529347,0.2946316413276407,1.0,-0.44256478855876963,-0.39499768059368545,-0.518947964784066,0.2341791900721046,-0.6512359839237348,-0.5534201651267259,0.7893155703639457,-0.7431540561485868,-0.7746914788432824,-0.7905970263631388,-0.03961815431593184,-0.4350486759576566,-0.5891628995654422,-0.7904907042410991,-0.8003426467057448,-0.5495484786076229,-0.6495502904027743,0.12047286869894287,0.18057556272364264,-0.06257413259610915,0.08408286300824215
15-Year Fixed Rate Mortgage Average in the United States,0.5310909904348954,-0.08620060507383703,-0.44256478855876963,1.0,0.9942193132171824,0.5081127152350797,-0.34325850931678076,0.44481061084153,0.8756115559179836,-0.4246047536271865,0.6528416229734626,0.40348726183121436,0.4122715337815355,0.3377447323562433,0.6492950308990338,0.023694329694150966,0.5940967672571219,0.6464718749031947,0.11468665397771821,0.4573849281961627,0.25456925708603345,0.20020460446870283,0.09153808132893788,0.2759737526901099
30-Year Fixed Rate Mortgage Average in the United States,0.5123146578221318,-0.08530008255146837,-0.39499768059368545,0.9942193132171824,1.0,0.4858838815429878,-0.33701203924656215,0.4495553345070568,0.852578538574732,-0.41367772222589594,0.6397259580388532,0.39175154155243563,0.39134128304622634,0.3502084285630992,0.6736277498820439,-0.02185067776587329,0.5763680045986106,0.6275058526328724,0.09207713088245832,0.45094699125020393,0.30660427117414923,0.25103382102674987,0.1239814605481381,0.3284802014470327
Employment Level,0.7457050361054156,0.47877508230551946,-0.518947964784066,0.5081127152350797,0.4858838815429878,1.0,-0.9278818660131942,0.47242599352297043,0.7621054444248222,-0.5792222042658779,0.835537074526941,0.5942575223857524,0.787532155943632,0.7996163768717875,0.6774270607995526,0.669187676627595,0.8345770358827684,0.8173304575508936,0.8090492380962605,0.4115518197225875,-0.22999111623193677,-0.2900722836174179,-0.08452282861492044,-0.14501076686375702
Unemployment Rate,-0.49781732826922115,-0.6271042002030642,0.2341791900721046,-0.34325850931678076,-0.33701203924656215,-0.9278818660131942,1.0,-0.3442856933760552,-0.5691799723938599,0.36278548347536405,-0.6134584884670015,-0.3602980314445826,-0.573513672438219,-0.8928720775958431,-0.5753683607689616,-0.50698819747021,-0.6164154897938829,-0.5844077556971522,-0.7152324743863642,-0.13065821446306075,0.20350598962281047,0.25579272377349255,0.01893201460679197,0.12343458681543966
"Inflation, consumer prices for the United States",0.67260191381389,-0.2970112778467275,-0.6512359839237348,0.44481061084153,0.4495553345070568,0.47242599352297043,-0.3442856933760552,1.0,0.4028109262602785,-0.808202179148543,0.6794115804671929,0.7548126237772385,0.6940484074679427,0.2901037436845098,0.7456915604406753,0.27167237888942297,0.7060570261281697,0.704962574833471,0.47262571679666243,0.5887364510751856,0.39171030528801587,0.33210938552682956,0.5578441161218904,0.45216574801553333
Federal Funds Effective Rate,0.7137954532047861,0.16844954756691874,-0.5534201651267259,0.8756115559179836,0.852578538574732,0.7621054444248222,-0.5691799723938599,0.4028109262602785,1.0,-0.5097435326317846,0.8225336910323382,0.5239758457347701,0.6233404611068799,0.5227186117992904,0.6969727117482564,0.3604879975514335,0.7610510550671837,0.7995160087443932,0.4052264779705392,0.584384451384265,-0.0022529530342331574,-0.03870109206681176,-0.17291310221829834,0.053020641302545565
"Trade Balance: Goods and Services, Balance of Payments Basis",-0.893320554304806,0.1750864654241038,0.7893155703639457,-0.4246047536271865,-0.41367772222589594,-0.5792222042658779,0.36278548347536405,-0.808202179148543,-0.5097435326317846,1.0,-0.8352349888395819,-0.9086240026315151,-0.868403791965157,-0.2949072976245494,-0.7263103903438317,-0.5571106921524833,-0.86612528956374,-0.8628748282061472,-0.6511389333050542,-0.7861077667796301,-0.12057898577391504,-0.0501866114972911,-0.22464735965676957,-0.18360812377375274
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,0.960589204622529,0.10528612438058826,-0.7431540561485868,0.6528416229734626,0.6397259580388532,0.835537074526941,-0.6134584884670015,0.6794115804671929,0.8225336910323382,-0.8352349888395819,1.0,0.88016394833578,0.943490149796986,0.5474426450784208,0.8328941469618586,0.648302373906283,0.9874872102503611,0.9910706142097804,0.751808043986815,0.7694458940072452,-0.020153104392037754,-0.08807718034726215,0.021216855369331822,0.06860804215981978
M1,0.9275058227289582,-0.10496807016217546,-0.7746914788432824,0.40348726183121436,0.39175154155243563,0.5942575223857524,-0.3602980314445826,0.7548126237772385,0.5239758457347701,-0.9086240026315151,0.88016394833578,1.0,0.9448936193630666,0.2897474861264503,0.7248062499350869,0.6756606787214726,0.9118734272080506,0.9022582616163859,0.7416154556916561,0.7766549214160376,0.024364675004014867,-0.05459443357632012,0.17315507691631257,0.10054506435139662
M2,0.9521270128404818,0.09865333346975656,-0.7905970263631388,0.4122715337815355,0.39134128304622634,0.787532155943632,-0.573513672438219,0.6940484074679427,0.6233404611068799,-0.868403791965157,0.943490149796986,0.9448936193630666,1.0,0.4670685257137816,0.7181845950365391,0.7950236999535283,0.971927810677442,0.9527742974877801,0.8728989160769542,0.7077423411510843,-0.15006677737193067,-0.2225422848278968,0.05424712822924791,-0.060886268973673496
Industrial Production: Total Index,0.41690862239796106,0.647992637572564,-0.03961815431593184,0.3377447323562433,0.3502084285630992,0.7996163768717875,-0.8928720775958431,0.2901037436845098,0.5227186117992904,-0.2949072976245494,0.5474426450784208,0.2897474861264503,0.4670685257137816,1.0,0.6677801074166069,0.3689801035898477,0.5141081313885798,0.48379285643400316,0.5969370028967461,0.14103324726148025,0.03838853796034231,0.004554348844779866,0.045946820805513565,0.09778186650437695
US_Manufacturing_PMI,0.7646279162586485,0.07285251998388431,-0.4350486759576566,0.6492950308990338,0.6736277498820439,0.6774270607995526,-0.5753683607689616,0.7456915604406753,0.6969727117482564,-0.7263103903438317,0.8328941469618586,0.7248062499350869,0.7181845950365391,0.6677801074166069,1.0,0.3002751142660213,0.7917629890257486,0.7968588179738798,0.5354258365749427,0.675254614112937,0.4318133831328435,0.3743240998895396,0.27541613936193127,0.5007427724442987
New One Family Houses Sold,0.6989989723826926,0.3744420869071592,-0.5891628995654422,0.023694329694150966,-0.02185067776587329,0.669187676627595,-0.50698819747021,0.27167237888942297,0.3604879975514335,-0.5571106921524833,0.648302373906283,0.6756606787214726,0.7950236999535283,0.3689801035898477,0.3002751142660213,1.0,0.696120443088353,0.6556499584161537,0.8764701414465262,0.4242247487117045,-0.5087849038371106,-0.5550908533152887,-0.2639739726754344,-0.4458825558961269
S&P CoreLogic Case-Shiller U.S. National Home Price Index,0.9702940933462433,0.08160635778201739,-0.7904907042410991,0.5940967672571219,0.5763680045986106,0.8345770358827684,-0.6164154897938829,0.7060570261281697,0.7610510550671837,-0.86612528956374,0.9874872102503611,0.9118734272080506,0.971927810677442,0.5141081313885798,0.7917629890257486,0.696120443088353,1.0,0.9951316720656659,0.8006632578176028,0.7297150241669222,-0.07375198276892743,-0.15486238147837572,0.06510900540362577,0.007867311053268976
All-Transactions House Price Index for the United States,0.9707448737880442,0.041013547983888184,-0.8003426467057448,0.6464718749031947,0.6275058526328724,0.8173304575508936,-0.5844077556971522,0.704962574833471,0.7995160087443932,-0.8628748282061472,0.9910706142097804,0.9022582616163859,0.9527742974877801,0.48379285643400316,0.7968588179738798,0.6556499584161537,0.9951316720656659,1.0,0.7506423238929327,0.7611399394952526,-0.04699502805304038,-0.12519049297450804,0.05484075316385465,0.03319972589238491
New Privately-Owned Housing Units Started: Total Units,0.7602768603867781,0.4060967034738846,-0.5495484786076229,0.11468665397771821,0.09207713088245832,0.8090492380962605,-0.7152324743863642,0.47262571679666243,0.4052264779705392,-0.6511389333050542,0.751808043986815,0.7416154556916561,0.8728989160769542,0.5969370028967461,0.5354258365749427,0.8764701414465262,0.8006632578176028,0.7506423238929327,1.0,0.4190795475724932,-0.3325075729620863,-0.3979601590635548,-0.044670882160264956,-0.24949484825379456
GC=F,0.8262524343670223,-0.21310444658018257,-0.6495502904027743,0.4573849281961627,0.45094699125020393,0.4115518197225875,-0.13065821446306075,0.5887364510751856,0.584384451384265,-0.7861077667796301,0.7694458940072452,0.7766549214160376,0.7077423411510843,0.14103324726148025,0.675254614112937,0.4242247487117045,0.7297150241669222,0.7611399394952526,0.4190795475724932,1.0,0.20148571021258166,0.18684923847647086,-0.033921542275933594,0.2587288310231815
CL=F,-0.0367543744773318,-0.42100786342191443,0.12047286869894287,0.25456925708603345,0.30660427117414923,-0.22999111623193677,0.20350598962281047,0.39171030528801587,-0.0022529530342331574,-0.12057898577391504,-0.020153104392037754,0.024364675004014867,-0.15006677737193067,0.03838853796034231,0.4318133831328435,-0.5087849038371106,-0.07375198276892743,-0.04699502805304038,-0.3325075729620863,0.20148571021258166,1.0,0.9784771669433946,0.546501648305103,0.9534013519678086
BZ=F,-0.11024417642447278,-0.4158859211474087,0.18057556272364264,0.20020460446870283,0.25103382102674987,-0.2900722836174179,0.25579272377349255,0.33210938552682956,-0.03870109206681176,-0.0501866114972911,-0.08807718034726215,-0.05459443357632012,-0.2225422848278968,0.004554348844779866,0.3743240998895396,-0.5550908533152887,-0.15486238147837572,-0.12519049297450804,-0.3979601590635548,0.18684923847647086,0.9784771669433946,1.0,0.49430574044838066,0.9494325661727951
NG=F,0.002795605813577452,-0.4161843416426618,-0.06257413259610915,0.09153808132893788,0.1239814605481381,-0.08452282861492044,0.01893201460679197,0.5578441161218904,-0.17291310221829834,-0.22464735965676957,0.021216855369331822,0.17315507691631257,0.05424712822924791,0.045946820805513565,0.27541613936193127,-0.2639739726754344,0.06510900540362577,0.05484075316385465,-0.044670882160264956,-0.033921542275933594,0.546501648305103,0.49430574044838066,1.0,0.522512926964343
RB=F,0.029702758140559577,-0.3739718664525264,0.08408286300824215,0.2759737526901099,0.3284802014470327,-0.14501076686375702,0.12343458681543966,0.45216574801553333,0.053020641302545565,-0.18360812377375274,0.06860804215981978,0.10054506435139662,-0.060886268973673496,0.09778186650437695,0.5007427724442987,-0.4458825558961269,0.007867311053268976,0.03319972589238491,-0.24949484825379456,0.2587288310231815,0.9534013519678086,0.9494325661727951,0.522512926964343,1.0
