,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Cap Weighted Composite_Index,1.0,0.9005907403840308,0.8779961702064644,-0.7986307502017356,-0.7260099274003634,0.8971995803719542,-0.9240773740362463,-0.08675086276727535,-0.17001495574283837,-0.024442122362745386,0.8994124517832495,0.8989782442873411,0.9031365241433702,0.9046067193372663,0.7774115348659907,0.8516496091511472,-0.18527997086708609,-0.6743103889747374,0.8132789228405247,0.7078655388230537,0.4578301358657918,0.6462892545430747,-0.7664172940931021,0.6839774789256962
Total Vehicle Sales,0.9005907403840308,1.0,0.9139676147598678,-0.8198101151709382,-0.7800670118191834,0.9327461255360763,-0.941312583714114,-0.1409245080550176,-0.15047442284967705,0.01912901584302879,0.8315031834471193,0.9025803198241745,0.9034255489818014,0.9241803512139876,0.7832566149582052,0.8788239173155188,-0.2164661113561292,-0.5726288388573828,0.8464903907923081,0.7121211876357945,0.37256381459103444,0.5565311169019518,-0.7905111442122673,0.5283254790636889
Domestic Auto Production,0.8779961702064644,0.9139676147598678,1.0,-0.9178572095023875,-0.893376451323959,0.9631590895430907,-0.932249567814949,-0.2587980632066799,-0.11111729815220409,-0.025892675847566677,0.8470978423822759,0.9284430585994025,0.9386755645318189,0.9588116155164946,0.7259804978279594,0.8907443794073304,-0.14791528888990682,-0.5214160484625364,0.870977199890242,0.6756197920162682,0.2163972994641587,0.42241819687351995,-0.8422720218830017,0.4406460106594157
15-Year Fixed Rate Mortgage Average in the United States,-0.7986307502017356,-0.8198101151709382,-0.9178572095023875,1.0,0.9816678552615353,-0.9196453322762286,0.8573978581334918,0.2575338982962329,0.1456496286452701,-0.0606267669787551,-0.8285604211137332,-0.9332262950837769,-0.9401021570669456,-0.914631840742356,-0.6634255011208416,-0.8524686281503143,0.06900993781920202,0.4391473916867873,-0.8843952569704023,-0.7432138960029593,-0.060027086554219844,-0.34441013684114835,0.7253316181955853,-0.33604534700925265
30-Year Fixed Rate Mortgage Average in the United States,-0.7260099274003634,-0.7800670118191834,-0.893376451323959,0.9816678552615353,1.0,-0.8972474886093108,0.8037041037766993,0.3896395657872098,0.013406587184471262,-0.1308174599808567,-0.7218536399453066,-0.8679598698469884,-0.8760832348120209,-0.8541325087772633,-0.5448160599671034,-0.8354947703634331,-0.03781212980350603,0.2810437137001616,-0.8723945559472944,-0.6379690457266705,0.05942993866349969,-0.18935007649760888,0.7109699682532651,-0.18100111070996652
Employment Level,0.8971995803719542,0.9327461255360763,0.9631590895430907,-0.9196453322762286,-0.8972474886093108,1.0,-0.9651090699670388,-0.27113987355693164,-0.049041313460144904,0.03754909916708923,0.8631690346152447,0.9444524580243562,0.9508608755739286,0.9485417339977663,0.71472415811954,0.9261270181979827,-0.024523656153417242,-0.4939638036994135,0.940863427363287,0.6841816928673007,0.20825186844809243,0.4343225918006448,-0.7657694115692287,0.44425756639402775
Unemployment Rate,-0.9240773740362463,-0.941312583714114,-0.932249567814949,0.8573978581334918,0.8037041037766993,-0.9651090699670388,1.0,0.07362432938708566,0.20271098035385132,0.10969144147301335,-0.9085560659396194,-0.9514596080266942,-0.9544867769925858,-0.9532358956810915,-0.8090874180698637,-0.8958977292276918,0.15185873111641235,0.6322853499447325,-0.9093886592172367,-0.7366451682100955,-0.35507224721335634,-0.581615361398122,0.7268027012168727,-0.5722740606948812
"Inflation, consumer prices for the United States",-0.08675086276727535,-0.1409245080550176,-0.2587980632066799,0.2575338982962329,0.3896395657872098,-0.27113987355693164,0.07362432938708566,1.0,-0.7235351569359751,-0.4607498086349512,0.14579914746470138,-0.021472091452164575,-0.046592276325177394,-0.08805029397431995,0.33706994490931297,-0.31973371416210117,-0.5405675824485549,-0.5247591529356039,-0.20515952386963843,0.28141907978794356,0.39351566067115384,0.5157301486718846,0.35177968844536134,0.4029172096070447
Federal Funds Effective Rate,-0.17001495574283837,-0.15047442284967705,-0.11111729815220409,0.1456496286452701,0.013406587184471262,-0.049041313460144904,0.20271098035385132,-0.7235351569359751,1.0,0.5232029100603504,-0.4335551167729441,-0.302722557925286,-0.2918812925251046,-0.2675433643414038,-0.5943637406560749,-0.018575135212117302,0.7892031648625838,0.6689147343651173,-0.06818488984095988,-0.6149361094944046,-0.537746758541003,-0.6794914942554837,0.043597071854947086,-0.562926950358608
"Trade Balance: Goods and Services, Balance of Payments Basis",-0.024442122362745386,0.01912901584302879,-0.025892675847566677,-0.0606267669787551,-0.1308174599808567,0.03754909916708923,0.10969144147301335,-0.4607498086349512,0.5232029100603504,1.0,-0.14983994075668247,-0.06297403651943254,-0.05968610178385266,-0.10301792059010517,-0.334962636504749,0.04364073553912526,0.5652424053443592,0.4291456068949212,0.002510594745878145,-0.16292512883775562,-0.3837213009736158,-0.36285652322306683,0.0575211944894565,-0.289046302024012
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,0.8994124517832495,0.8315031834471193,0.8470978423822759,-0.8285604211137332,-0.7218536399453066,0.8631690346152447,-0.9085560659396194,0.14579914746470138,-0.4335551167729441,-0.14983994075668247,1.0,0.9455301411756529,0.9489958263011217,0.9233956851077038,0.8744429526617232,0.7827917107392007,-0.29467936453982513,-0.8130527745697308,0.8044123413251242,0.8536757050925222,0.44908222780199997,0.7484590956949891,-0.651774859355755,0.7595392747663262
M1,0.8989782442873411,0.9025803198241745,0.9284430585994025,-0.9332262950837769,-0.8679598698469884,0.9444524580243562,-0.9514596080266942,-0.021472091452164575,-0.302722557925286,-0.06297403651943254,0.9455301411756529,1.0,0.9974008967695001,0.9753340129604564,0.8343072849319287,0.8677587676182524,-0.21001156313639083,-0.6486319021275926,0.8960216732569316,0.8513899358471102,0.2847606059081152,0.5858936598762565,-0.705439907901642,0.5608829042111565
M2,0.9031365241433702,0.9034255489818014,0.9386755645318189,-0.9401021570669456,-0.8760832348120209,0.9508608755739286,-0.9544867769925858,-0.046592276325177394,-0.2918812925251046,-0.05968610178385266,0.9489958263011217,0.9974008967695001,1.0,0.9804209091263871,0.8228776010969142,0.8748860146933023,-0.19689937750567543,-0.6488714306312204,0.8981645563733281,0.8376420227165176,0.2746023688636788,0.5751078180245676,-0.7228714687546042,0.5622737142089108
Industrial Production: Total Index,0.9046067193372663,0.9241803512139876,0.9588116155164946,-0.914631840742356,-0.8541325087772633,0.9485417339977663,-0.9532358956810915,-0.08805029397431995,-0.2675433643414038,-0.10301792059010517,0.9233956851077038,0.9753340129604564,0.9804209091263871,1.0,0.8402165081685828,0.9061653841106422,-0.25912925904794437,-0.6589269622005904,0.8783743908159349,0.7996280979796911,0.3108026625150187,0.5635121660436154,-0.785959613628503,0.5593813840148357
US_Manufacturing_PMI,0.7774115348659907,0.7832566149582052,0.7259804978279594,-0.6634255011208416,-0.5448160599671034,0.71472415811954,-0.8090874180698637,0.33706994490931297,-0.5943637406560749,-0.334962636504749,0.8744429526617232,0.8343072849319287,0.8228776010969142,0.8402165081685828,1.0,0.6672898238452195,-0.6021775993256286,-0.8485326116643584,0.6713593416060049,0.8720062477220081,0.6204243503792021,0.8296049630010586,-0.5883564145159164,0.7604887846985882
New One Family Houses Sold,0.8516496091511472,0.8788239173155188,0.8907443794073304,-0.8524686281503143,-0.8354947703634331,0.9261270181979827,-0.8958977292276918,-0.31973371416210117,-0.018575135212117302,0.04364073553912526,0.7827917107392007,0.8677587676182524,0.8748860146933023,0.9061653841106422,0.6672898238452195,1.0,-0.025630395289241104,-0.4446579451243986,0.8519697285976225,0.6084512113409883,0.2481128335592211,0.3978016303978822,-0.7459620876607016,0.42134530715583635
S&P CoreLogic Case-Shiller U.S. National Home Price Index,-0.18527997086708609,-0.2164661113561292,-0.14791528888990682,0.06900993781920202,-0.03781212980350603,-0.024523656153417242,0.15185873111641235,-0.5405675824485549,0.7892031648625838,0.5652424053443592,-0.29467936453982513,-0.21001156313639083,-0.19689937750567543,-0.25912925904794437,-0.6021775993256286,-0.025630395289241104,1.0,0.6271657112260849,0.034204763757390795,-0.5076489286005025,-0.5922117391183992,-0.5951275961656646,0.317501884084585,-0.47479070480675734
All-Transactions House Price Index for the United States,-0.6743103889747374,-0.5726288388573828,-0.5214160484625364,0.4391473916867873,0.2810437137001616,-0.4939638036994135,0.6322853499447325,-0.5247591529356039,0.6689147343651173,0.4291456068949212,-0.8130527745697308,-0.6486319021275926,-0.6488714306312204,-0.6589269622005904,-0.8485326116643584,-0.4446579451243986,0.6271657112260849,1.0,-0.4218917139456261,-0.724331897253381,-0.6650999101219532,-0.8602109041907011,0.4608670281377054,-0.8595346048374903
New Privately-Owned Housing Units Started: Total Units,0.8132789228405247,0.8464903907923081,0.870977199890242,-0.8843952569704023,-0.8723945559472944,0.940863427363287,-0.9093886592172367,-0.20515952386963843,-0.06818488984095988,0.002510594745878145,0.8044123413251242,0.8960216732569316,0.8981645563733281,0.8783743908159349,0.6713593416060049,0.8519697285976225,0.034204763757390795,-0.4218917139456261,1.0,0.6595804021839569,0.1550650706478313,0.37999965253279,-0.6319536808527595,0.3583237793678858
GC=F,0.7078655388230537,0.7121211876357945,0.6756197920162682,-0.7432138960029593,-0.6379690457266705,0.6841816928673007,-0.7366451682100955,0.28141907978794356,-0.6149361094944046,-0.16292512883775562,0.8536757050925222,0.8513899358471102,0.8376420227165176,0.7996280979796911,0.8720062477220081,0.6084512113409883,-0.5076489286005025,-0.724331897253381,0.6595804021839569,1.0,0.419149141108583,0.7322265704024439,-0.5179051319156041,0.6407661129209443
CL=F,0.4578301358657918,0.37256381459103444,0.2163972994641587,-0.060027086554219844,0.05942993866349969,0.20825186844809243,-0.35507224721335634,0.39351566067115384,-0.537746758541003,-0.3837213009736158,0.44908222780199997,0.2847606059081152,0.2746023688636788,0.3108026625150187,0.6204243503792021,0.2481128335592211,-0.5922117391183992,-0.6650999101219532,0.1550650706478313,0.419149141108583,1.0,0.8579392493277701,-0.2565473803033588,0.8246969750582677
