lr,step,test_average_daily_return,test_cumulative_return,test_custom_loss,test_error_percentage,test_loss_days,test_mae,test_mse,test_total_profits,final_train_loss,train_average_daily_return,train_cumulative_return,train_loss_days,train_total_profits
NA,NA,0.001333648688159883,0.10814615339040756,22.788602828979492,1.8325897455215454,42.0,3.5303378105163574,17.73255729675293,20.783920288085938,17.516748428344727,0.0008640252697538966,0.420425985914048,213,57.791709899902344
NA,NA,1.9968272681580856e-05,-0.0013411964755505323,93.98222351074219,4.507652759552002,24.0,8.396038055419922,85.61349487304688,-0.0478057861328125,25.446937561035156,0.001102998241999112,0.4800232226024672,176,64.282958984375
NA,NA,0.00033753126626834273,0.015184223651885986,23.97657012939453,1.7889301776885986,28.0,3.3942437171936035,17.03306770324707,3.040130615234375,17.163330078125,0.000560065230906686,0.23596098426666345,219,38.48951721191406
NA,NA,-5.055828660260886e-05,-0.006977065000683069,37.961219787597656,2.4639668464660645,37.0,4.627716064453125,29.397951126098633,-0.9751434326171875,10.240204811096191,0.001003768154656097,0.5107226222358845,218,66.0135726928711
NA,NA,0.0006787195452488959,0.051577128469944,17.359546661376953,1.3763498067855835,41.0,2.602229356765747,11.377791404724121,10.382461547851562,12.859375953674316,0.000362186429402609,0.13140314927609742,222,20.382492065429688
NA,NA,-0.0002629873051773757,-0.016032911837100983,79.79792785644531,3.974498987197876,30.0,7.414304256439209,71.87117004394531,-2.9827880859375,24.250537872314453,0.0012941881209698875,0.7189544211056411,205,93.21234130859375
NA,NA,0.0008573327795602381,0.059588074684143066,27.22405242919922,2.0018835067749023,38.0,3.8265771865844727,20.72260284423828,11.701690673828125,13.478874206542969,0.0008210772131159349,0.39342104662684263,207,55.21996307373047
NA,NA,-0.00048644415801391006,-0.02334827557206154,52.762290954589844,3.2205605506896973,25.0,6.013909816741943,43.85837173461914,-4.3881378173828125,22.315752029418945,0.0014045127377775406,0.6578593210809567,180,78.71894073486328
NA,NA,0.001205057604238391,0.07612033188343048,35.029117584228516,2.264760732650757,33.0,4.2562360763549805,27.921838760375977,14.856582641601562,20.254491806030273,0.0011139011363670997,0.5855645190885861,216,75.29647064208984
NA,NA,-0.0004315835831221193,-0.022896764799952507,46.864288330078125,2.905012845993042,28.0,5.42333459854126,38.166751861572266,-4.3307952880859375,19.372648239135742,0.0014044644983410208,0.8048450149978372,201,99.60796356201172
NA,NA,-0.000908262503799051,-0.06002724543213844,46.81861114501953,2.6933581829071045,38.0,5.075924396514893,36.46868133544922,-11.223709106445312,9.838583946228027,0.0017367058564901005,1.09644666131307,200,127.02696990966797
NA,NA,-0.00022970947611611336,-0.011268905363976955,61.29392623901367,3.4332523345947266,22.0,6.370132923126221,52.18543243408203,-2.0458984375,29.31743621826172,0.00076521636777573,0.29917260004861834,188,42.45691680908203
NA,NA,-0.0005342275253497064,-0.05427505075931549,14.4041748046875,1.1295084953308105,56.0,2.1607189178466797,6.686374187469482,-9.474075317382812,12.276875495910645,-0.0005402888916510303,-0.24335958093495436,230,-33.977149963378906
NA,NA,0.0016134139150381088,0.1117517501115799,18.706022262573242,1.5198932886123657,36.0,2.916015148162842,12.648841857910156,21.147216796875,13.543061256408691,0.0008154832873743421,0.38889823655584,228,52.73418426513672
NA,NA,0.0005817657220177352,0.04801328852772713,15.358710289001465,1.4031087160110474,53.0,2.6725361347198486,9.824516296386719,10.24859619140625,7.762035369873047,0.001013145615562426,0.5185094914724719,205,65.82229614257812
NA,NA,0.0010829062666743994,0.09526297450065613,18.82564353942871,1.5480166673660278,44.0,2.941178798675537,13.12398910522461,18.3365478515625,17.45391845703125,0.0005338518778481327,0.2243480973585823,216,29.598480224609375
NA,NA,-0.00023578894615639,-0.01367067638784647,52.84931564331055,3.0644218921661377,26.0,5.7275390625,44.13960266113281,-2.5334625244140625,20.2961483001709,0.0005386476641451515,0.22439143988073695,220,36.663597106933594
NA,NA,0.0016286136815324426,0.09173136204481125,45.8036003112793,2.852721691131592,29.0,5.335487365722656,38.98850631713867,17.581268310546875,14.643097877502441,0.0009857439457410966,0.4973594085618511,216,66.73998260498047
NA,NA,-0.0006113036652095616,-0.023778649047017097,53.844696044921875,3.2071731090545654,20.0,5.943233013153076,43.782466888427734,-4.5602264404296875,6.812851905822754,0.0011184200001894198,0.4886025611883802,175,63.5850830078125
NA,NA,0.0017830310389399529,0.1487102508544922,18.239654541015625,1.5248792171478271,40.0,2.8896889686584473,13.461822509765625,27.533462524414062,12.681525230407715,0.00018540097160850836,0.04638741564110527,221,-0.08597564697265625
NA,NA,0.00031919966568239033,0.020551035180687904,34.7764892578125,2.2324554920196533,37.0,4.216609954833984,26.03531837463379,3.8718719482421875,13.613760948181152,0.00016017471162816673,0.03533736980771285,217,7.543128967285156
NA,NA,-0.0006113036652095616,-0.023778649047017097,107.65733337402344,5.0790276527404785,20.0,9.431548118591309,97.59510803222656,-4.5602264404296875,24.877412796020508,0.0008994825684753817,0.3667639433214511,182,56.940696716308594
NA,NA,0.00018013190128840506,0.009156806394457817,21.48316192626953,1.6976237297058105,40.0,3.2099575996398926,13.832633972167969,2.1988525390625,13.323631286621094,0.0007794053727436691,0.36542657960721936,215,48.441795349121094
NA,NA,-2.1546860807575285e-05,-0.006189071573317051,17.409990310668945,1.4170225858688354,55.0,2.6948153972625732,10.33452033996582,-0.42059326171875,9.099818229675293,0.001064226882014209,0.5532946115011232,211,70.80307006835938
