,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Cap Weighted Composite_Index,1.0,0.11349236607933944,-0.6835014621595128,-0.39681000298141467,-0.4061130461448579,0.6635388497093461,-0.34827010206599374,0.5837861218906942,-0.1350942847701503,-0.6353206449832723,0.9093136258212379,0.9432321402274043,0.9621213041962258,0.32117918617853336,0.6013459475075981,0.43384891446631363,0.9278382698801214,0.9233057952061823,0.6174704501793036,0.6868610349159703,-0.13734315767704422,-0.1646250755600739,-0.14420642397567265,-0.03331750870499819
Total Vehicle Sales,0.11349236607933944,1.0,0.40101885638879164,-0.19800718622552066,-0.19084014712593408,0.5747883097701165,-0.6860614975404707,-0.06022322629058182,0.27778966261192045,-0.0186500200918592,0.2001256042220886,-0.021570151276756513,0.19196828434546914,0.7729974375825701,0.3564933112671086,0.4703414073932785,0.20532579802962594,0.11749834048858097,0.5749261153339229,-0.05320863678327177,-0.26289538244182115,-0.2188634510185641,-0.24035271172696815,-0.17412852389685074
Domestic Auto Production,-0.6835014621595128,0.40101885638879164,1.0,0.17617256838405831,0.2152187472456509,-0.2794728707661786,-0.08447776288751342,-0.34126361104284236,0.18567326595638953,0.35101163329946766,-0.5823734078948825,-0.6499041753405193,-0.6400001489416904,0.2757036428802129,-0.04422769230056449,-0.12651250822430968,-0.6022674634842533,-0.6599540343923513,-0.13440945843011023,-0.4739191540273744,0.23370961782500146,0.278202203459575,0.13838483395422618,0.202928188325103
15-Year Fixed Rate Mortgage Average in the United States,-0.39681000298141467,-0.19800718622552066,0.17617256838405831,1.0,0.9912495315844552,-0.18442096144108736,-0.14732476075231934,0.2505970517103371,0.7750619521388811,-0.24370883005449587,-0.509743326802455,-0.31195758389379336,-0.5275894472798319,-0.03500444200372075,-0.19324486699289822,0.16361450922163875,-0.10850397615740198,-0.07622880097457532,0.029981962677290162,-0.7447806387437438,0.23491500731303475,0.18549701133069038,0.7673786213534894,0.11846605246905541
30-Year Fixed Rate Mortgage Average in the United States,-0.4061130461448579,-0.19084014712593408,0.2152187472456509,0.9912495315844552,1.0,-0.1865513990197087,-0.14850990528510516,0.2771729050990428,0.7404510445063167,-0.22851585958560455,-0.4882976838391713,-0.3139836604840858,-0.5239259331233375,-0.004252379820398947,-0.12939064648013388,0.10301499671117238,-0.11702642572634245,-0.0874930321379634,0.0031772615403110414,-0.7240593424252585,0.3056493213469934,0.25624383737599277,0.7763443391308924,0.19759875912989336
Employment Level,0.6635388497093461,0.5747883097701165,-0.2794728707661786,-0.18442096144108736,-0.1865513990197087,1.0,-0.8667099996816902,0.39939760885145803,0.18569301199545815,-0.36692769370246936,0.742641801510044,0.4730154518418655,0.7069918415888667,0.7320594564119792,0.5877256675147043,0.441777225079355,0.7646381974376144,0.7362492337586419,0.6721542476143263,0.2667672766527952,-0.2656708820928201,-0.28564862414041386,-0.12858498734853957,-0.1716303022436757
Unemployment Rate,-0.34827010206599374,-0.6860614975404707,-0.08447776288751342,-0.14732476075231934,-0.14850990528510516,-0.8667099996816902,1.0,-0.3806113111186358,-0.5073550245892205,0.3866862678752614,-0.3709870406734531,-0.18870169647328855,-0.3404797909307326,-0.842608837032173,-0.5176974174336514,-0.5268121964823249,-0.5598946025435313,-0.511818544871326,-0.71871190803541,0.14067978673287895,0.15421247262516397,0.17158150900226002,-0.1601796195994792,0.09507494149964507
"Inflation, consumer prices for the United States",0.5837861218906942,-0.06022322629058182,-0.34126361104284236,0.2505970517103371,0.2771729050990428,0.39939760885145803,-0.3806113111186358,1.0,0.28963263872935263,-0.8266016340687338,0.486991483473507,0.6335746971151976,0.47351499053172824,0.3736961829487984,0.7017531583229801,0.2749851719015406,0.6815617588056603,0.6968021481976775,0.4617153870523193,0.2924523976029143,0.3934542977752978,0.3695354828614028,0.4954643960036823,0.43961206848611534
Federal Funds Effective Rate,-0.1350942847701503,0.27778966261192045,0.18567326595638953,0.7750619521388811,0.7404510445063167,0.18569301199545815,-0.5073550245892205,0.28963263872935263,1.0,-0.39721712076528476,-0.28341523639856614,-0.1594252744133373,-0.267456951598272,0.36790947619164854,0.01888855698011929,0.6002284074914589,0.16535386772132998,0.15595945178409476,0.4867099996694765,-0.6001207360155477,-0.023077044690387596,-0.013348970325324432,0.5525662646179909,-0.06057432146175634
"Trade Balance: Goods and Services, Balance of Payments Basis",-0.6353206449832723,-0.0186500200918592,0.35101163329946766,-0.24370883005449587,-0.22851585958560455,-0.36692769370246936,0.3866862678752614,-0.8266016340687338,-0.39721712076528476,1.0,-0.39938993110829485,-0.6830172232983528,-0.46908270813069775,-0.34597837704039913,-0.5318924490538649,-0.5768467332321945,-0.7300826198487106,-0.724148502272336,-0.6626517455294464,-0.18583253682001447,-0.1870979399476606,-0.14530630386038323,-0.48212627585406276,-0.21453738835097974
