,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,0.9093136258212379,0.2001256042220886,-0.5823734078948825,-0.509743326802455,-0.4882976838391713,0.742641801510044,-0.3709870406734531,0.486991483473507,-0.28341523639856614,-0.39938993110829485,1.0,0.8212079718738802,0.9742523852821178,0.4031486469879695,0.6763881543346405,0.1923410639372272,0.8379591509019563,0.8352097273472032,0.45260497634671376,0.7638617855876187,-0.11156473191673076,-0.12355487326399217,-0.29453974521903975,0.023606617399000142
M1,0.9432321402274043,-0.021570151276756513,-0.6499041753405193,-0.31195758389379336,-0.3139836604840858,0.4730154518418655,-0.18870169647328855,0.6335746971151976,-0.1594252744133373,-0.6830172232983528,0.8212079718738802,1.0,0.8943967629035723,0.1791853492496957,0.5625943942963475,0.3914594779293481,0.8762260841532469,0.8808818945407942,0.5421092090203009,0.6670433845718102,-0.05154380110675245,-0.08888894798854383,-0.02321826434483754,0.043842035893621255
M2,0.9621213041962258,0.19196828434546914,-0.6400001489416904,-0.5275894472798319,-0.5239259331233375,0.7069918415888667,-0.3404797909307326,0.47351499053172824,-0.267456951598272,-0.46908270813069775,0.9742523852821178,0.8943967629035723,1.0,0.33847333421573245,0.5989929639611665,0.3224285749230289,0.8810861339842235,0.8724060615321487,0.5372896304243145,0.7480324538803226,-0.2173400145952844,-0.23462327869194072,-0.3031683913255422,-0.08993737935723817
Industrial Production: Total Index,0.32117918617853336,0.7729974375825701,0.2757036428802129,-0.03500444200372075,-0.004252379820398947,0.7320594564119792,-0.842608837032173,0.3736961829487984,0.36790947619164854,-0.34597837704039913,0.4031486469879695,0.1791853492496957,0.33847333421573245,1.0,0.7468740802554347,0.3817439692777526,0.4455705067140223,0.38040382901872666,0.6191214587167967,0.07088306676622505,0.09989974244758491,0.12109879911953648,0.09660032151689536,0.1749112938575013
US_Manufacturing_PMI,0.6013459475075981,0.3564933112671086,-0.04422769230056449,-0.19324486699289822,-0.12939064648013388,0.5877256675147043,-0.5176974174336514,0.7017531583229801,0.01888855698011929,-0.5318924490538649,0.6763881543346405,0.5625943942963475,0.5989929639611665,0.7468740802554347,1.0,0.1258039743022126,0.6037223953724055,0.5738433285960212,0.45170851572067505,0.5157575261215213,0.44632207070106467,0.45749353746140237,0.14137669438947362,0.5492288933150558
New One Family Houses Sold,0.43384891446631363,0.4703414073932785,-0.12651250822430968,0.16361450922163875,0.10301499671117238,0.441777225079355,-0.5268121964823249,0.2749851719015406,0.6002284074914589,-0.5768467332321945,0.1923410639372272,0.3914594779293481,0.3224285749230289,0.3817439692777526,0.1258039743022126,1.0,0.5796592618105554,0.529206538830155,0.8923126888865324,-0.11057842723221546,-0.39251915984877145,-0.3884764219946305,0.1237736676937649,-0.35254287685645974
S&P CoreLogic Case-Shiller U.S. National Home Price Index,0.9278382698801214,0.20532579802962594,-0.6022674634842533,-0.10850397615740198,-0.11702642572634245,0.7646381974376144,-0.5598946025435313,0.6815617588056603,0.16535386772132998,-0.7300826198487106,0.8379591509019563,0.8762260841532469,0.8810861339842235,0.4455705067140223,0.6037223953724055,0.5796592618105554,1.0,0.9920168619774005,0.761202473068594,0.43499871888138425,-0.17348886230927,-0.21483633048879985,0.06688924608878735,-0.0767028164270989
All-Transactions House Price Index for the United States,0.9233057952061823,0.11749834048858097,-0.6599540343923513,-0.07622880097457532,-0.0874930321379634,0.7362492337586419,-0.511818544871326,0.6968021481976775,0.15595945178409476,-0.724148502272336,0.8352097273472032,0.8808818945407942,0.8724060615321487,0.38040382901872666,0.5738433285960212,0.529206538830155,0.9920168619774005,1.0,0.7009589230596335,0.4467898482624627,-0.15707498567199402,-0.2031809969460466,0.09083603738137587,-0.06768655215055557
New Privately-Owned Housing Units Started: Total Units,0.6174704501793036,0.5749261153339229,-0.13440945843011023,0.029981962677290162,0.0031772615403110414,0.6721542476143263,-0.71871190803541,0.4617153870523193,0.4867099996694765,-0.6626517455294464,0.45260497634671376,0.5421092090203009,0.5372896304243145,0.6191214587167967,0.45170851572067505,0.8923126888865324,0.761202473068594,0.7009589230596335,1.0,0.06875048086654177,-0.26710436989977376,-0.2690992708716318,0.1082081791128553,-0.1783701098567279
GC=F,0.6868610349159703,-0.05320863678327177,-0.4739191540273744,-0.7447806387437438,-0.7240593424252585,0.2667672766527952,0.14067978673287895,0.2924523976029143,-0.6001207360155477,-0.18583253682001447,0.7638617855876187,0.6670433845718102,0.7480324538803226,0.07088306676622505,0.5157575261215213,-0.11057842723221546,0.43499871888138425,0.4467898482624627,0.06875048086654177,1.0,0.08788610313103017,0.1360189715215435,-0.4569266352899137,0.21814974322924838
CL=F,-0.13734315767704422,-0.26289538244182115,0.23370961782500146,0.23491500731303475,0.3056493213469934,-0.2656708820928201,0.15421247262516397,0.3934542977752978,-0.023077044690387596,-0.1870979399476606,-0.11156473191673076,-0.05154380110675245,-0.2173400145952844,0.09989974244758491,0.44632207070106467,-0.39251915984877145,-0.17348886230927,-0.15707498567199402,-0.26710436989977376,0.08788610313103017,1.0,0.9689124748801117,0.5183603187297696,0.9427911945976678
BZ=F,-0.1646250755600739,-0.2188634510185641,0.278202203459575,0.18549701133069038,0.25624383737599277,-0.28564862414041386,0.17158150900226002,0.3695354828614028,-0.013348970325324432,-0.14530630386038323,-0.12355487326399217,-0.08888894798854383,-0.23462327869194072,0.12109879911953648,0.45749353746140237,-0.3884764219946305,-0.21483633048879985,-0.2031809969460466,-0.2690992708716318,0.1360189715215435,0.9689124748801117,1.0,0.44318581767985066,0.9510928599568468
NG=F,-0.14420642397567265,-0.24035271172696815,0.13838483395422618,0.7673786213534894,0.7763443391308924,-0.12858498734853957,-0.1601796195994792,0.4954643960036823,0.5525662646179909,-0.48212627585406276,-0.29453974521903975,-0.02321826434483754,-0.3031683913255422,0.09660032151689536,0.14137669438947362,0.1237736676937649,0.06688924608878735,0.09083603738137587,0.1082081791128553,-0.4569266352899137,0.5183603187297696,0.44318581767985066,1.0,0.4097073840482266
RB=F,-0.03331750870499819,-0.17412852389685074,0.202928188325103,0.11846605246905541,0.19759875912989336,-0.1716303022436757,0.09507494149964507,0.43961206848611534,-0.06057432146175634,-0.21453738835097974,0.023606617399000142,0.043842035893621255,-0.08993737935723817,0.1749112938575013,0.5492288933150558,-0.35254287685645974,-0.0767028164270989,-0.06768655215055557,-0.1783701098567279,0.21814974322924838,0.9427911945976678,0.9510928599568468,0.4097073840482266,1.0
