,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Cap Weighted Composite_Index,1.0,-0.042156075159357854,-0.7707597660718161,-0.10311808942919548,-0.1486523379062988,0.6128854848722844,-0.40705194999335936,0.7007655539069393,0.266736905031691,-0.8881919128112119,0.9302669985392796,0.9424323977365123,0.9754948196458351,0.2835776176792373,0.5665461221573346,0.7714037956887898,0.954944107023802,0.950462064527116,0.8514672430380641,0.6519695298613709,-0.13872790283492817,-0.1989069119176784,0.28662263827421647,-0.08316791673597405
Total Vehicle Sales,-0.042156075159357854,1.0,0.3669332585377206,-0.22413295088158214,-0.2200103532816751,0.5453005133335935,-0.654547097102479,-0.32969796006338836,0.26889738265863,0.2571914747073274,0.0988869184962418,-0.15995715956475906,0.08413311078126302,0.6743058287447932,0.05013446619378004,0.37496546087652155,0.06114915974715537,0.00022670747189025372,0.4125745157454665,-0.40107217279775526,-0.42911594679336407,-0.4196952831306739,-0.423770876373128,-0.38803905860405463
Domestic Auto Production,-0.7707597660718161,0.3669332585377206,1.0,-0.12331555134579812,-0.028585672974249802,-0.34892818894449323,0.0895367512284334,-0.605852836495777,-0.33322704729009617,0.7326887566710566,-0.6705319644084766,-0.7021275813700463,-0.7214278163940973,0.14318890897256276,-0.17832115714907507,-0.5477436965922513,-0.7286276858810836,-0.7596268560805494,-0.4938823843584539,-0.5292270903310345,0.18467768872048146,0.22859421956498363,-0.21813304921654308,0.1696371175725532
15-Year Fixed Rate Mortgage Average in the United States,-0.10311808942919548,-0.22413295088158214,-0.12331555134579812,1.0,0.9839750018724219,0.11635943235436627,-0.12208416834229313,0.3627083294363081,0.5903274730736312,-0.03327865104027273,0.10033008061816015,-0.08320382162848172,-0.07855779530696874,0.12108586676454566,0.24027970048903516,-0.34024537544296724,0.07945757849129571,0.12829771949274207,-0.2244395890703216,-0.24332205216657862,0.3127474369109469,0.2803870103905581,0.5371198031673448,0.28388003592949124
30-Year Fixed Rate Mortgage Average in the United States,-0.1486523379062988,-0.2200103532816751,-0.028585672974249802,0.9839750018724219,1.0,0.0704384872001718,-0.11079697969784419,0.36839008988488686,0.5062096650740433,-0.006034934964717641,0.06570025403539963,-0.10564112197201345,-0.12071891795941983,0.14400855361564607,0.29723518050201,-0.41748553100178826,0.037335728528926554,0.07950896337648315,-0.261346489495331,-0.26559392001250975,0.40169342545798875,0.3668577860006924,0.5887015354978917,0.3774717126616118
Employment Level,0.6128854848722844,0.5453005133335935,-0.34892818894449323,0.11635943235436627,0.0704384872001718,1.0,-0.9466660855950647,0.3823772270847962,0.6945733496366931,-0.41965147975270883,0.7648229642933319,0.41399952810501256,0.6911985551841543,0.7843465723532693,0.48983207944707935,0.6548701364352119,0.7489817750571011,0.7252980705211837,0.8191468494158917,0.037542940399162825,-0.33953254668371347,-0.3809934621419187,0.07376680453932863,-0.27481196106403133
Unemployment Rate,-0.40705194999335936,-0.654547097102479,0.0895367512284334,-0.12208416834229313,-0.11079697969784419,-0.9466660855950647,1.0,-0.2677467682969752,-0.6107402492225957,0.2441137276432835,-0.5854338371158614,-0.21747397949090164,-0.4908334694063588,-0.8802795006683372,-0.49748212586029583,-0.4625584807369011,-0.5639686770325174,-0.528851301948025,-0.6876620557002013,0.1587279434324344,0.25142171256995577,0.29051743176716716,-0.0762578540807286,0.19071497281255878
"Inflation, consumer prices for the United States",0.7007655539069393,-0.32969796006338836,-0.605852836495777,0.3627083294363081,0.36839008988488686,0.3823772270847962,-0.2677467682969752,1.0,0.3012802855286463,-0.8235320192662366,0.7286547433834842,0.7385461798368892,0.6631932026093388,0.20932823428965458,0.7710784782659089,0.20925033343310886,0.7233133849662936,0.7511651822940993,0.42356925963434033,0.6010069185392006,0.3868447146155565,0.3365201110581742,0.6978631627888674,0.4400186674101133
Federal Funds Effective Rate,0.266736905031691,0.26889738265863,-0.33322704729009617,0.5903274730736312,0.5062096650740433,0.6945733496366931,-0.6107402492225957,0.3012802855286463,1.0,-0.14734097083161224,0.4954226721089324,0.09955246211413818,0.3393155715167105,0.5166269591827718,0.28859568527917023,0.28554243531327966,0.44080738503315525,0.46740647065717583,0.33210547192343676,-0.08739296825980886,-0.17786309952244267,-0.17073490052404183,0.12658264538192354,-0.15969186476361122
"Trade Balance: Goods and Services, Balance of Payments Basis",-0.8881919128112119,0.2571914747073274,0.7326887566710566,-0.03327865104027273,-0.006034934964717641,-0.41965147975270883,0.2441137276432835,-0.8235320192662366,-0.14734097083161224,1.0,-0.8081380686845977,-0.9014005537242021,-0.8374151931765296,-0.15513700548853304,-0.616695921130379,-0.5197304774354979,-0.8391588506581416,-0.8471598666385702,-0.635226210115798,-0.6932066563999013,-0.09906205496796011,-0.04126026255996748,-0.4466303486496882,-0.15650122959050727
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,0.9302669985392796,0.0988869184962418,-0.6705319644084766,0.10033008061816015,0.06570025403539963,0.7648229642933319,-0.5854338371158614,0.7286547433834842,0.4954226721089324,-0.8081380686845977,1.0,0.8581897350245541,0.9679516034252194,0.4811826239582195,0.668686339717206,0.7205187616693777,0.9841514578712102,0.9808986477391527,0.8660469338629526,0.5269721503921924,-0.13467351900661942,-0.18709847311217062,0.35265177565148537,-0.05362676815900641
M1,0.9424323977365123,-0.15995715956475906,-0.7021275813700463,-0.08320382162848172,-0.10564112197201345,0.41399952810501256,-0.21747397949090164,0.7385461798368892,0.09955246211413818,-0.9014005537242021,0.8581897350245541,1.0,0.9208301147723962,0.1328116961158763,0.5742868845388817,0.6622068189937841,0.8855949751423187,0.8867939261648414,0.7316432936944045,0.7203965020165154,-0.028291735398833628,-0.09434291633368702,0.39228237729894294,0.02793226759728501
M2,0.9754948196458351,0.08413311078126302,-0.7214278163940973,-0.07855779530696874,-0.12071891795941983,0.6911985551841543,-0.4908334694063588,0.6631932026093388,0.3393155715167105,-0.8374151931765296,0.9679516034252194,0.9208301147723962,1.0,0.3579765383573078,0.5580028518161669,0.8128418741254794,0.9806410559065819,0.9699278241792956,0.9005331580383303,0.5769141227133525,-0.24092265926758089,-0.2980967600411291,0.2475934539356127,-0.16971687291271637
Industrial Production: Total Index,0.2835776176792373,0.6743058287447932,0.14318890897256276,0.12108586676454566,0.14400855361564607,0.7843465723532693,-0.8802795006683372,0.20932823428965458,0.5166269591827718,-0.15513700548853304,0.4811826239582195,0.1328116961158763,0.3579765383573078,1.0,0.6368277201295863,0.30971491607999435,0.4165299699902077,0.3737919994545474,0.5563427481895102,-0.14503198724506755,0.00853468486543042,-0.011594430541137787,0.14621336641984436,0.05249506102765954
US_Manufacturing_PMI,0.5665461221573346,0.05013446619378004,-0.17832115714907507,0.24027970048903516,0.29723518050201,0.48983207944707935,-0.49748212586029583,0.7710784782659089,0.28859568527917023,-0.616695921130379,0.668686339717206,0.5742868845388817,0.5580028518161669,0.6368277201295863,1.0,0.17350406463087734,0.609476179715842,0.6008078710409036,0.48307360340395716,0.41973268916001943,0.5111216170139709,0.47148899571901853,0.6388826890501241,0.5657727145859309
New One Family Houses Sold,0.7714037956887898,0.37496546087652155,-0.5477436965922513,-0.34024537544296724,-0.41748553100178826,0.6548701364352119,-0.4625584807369011,0.20925033343310886,0.28554243531327966,-0.5197304774354979,0.7205187616693777,0.6622068189937841,0.8128418741254794,0.30971491607999435,0.17350406463087734,1.0,0.7429154499648698,0.7129709999378638,0.8740821551379746,0.3712647031949152,-0.557940153450426,-0.5913775079924128,-0.21098864284689867,-0.5151681116302778
S&P CoreLogic Case-Shiller U.S. National Home Price Index,0.954944107023802,0.06114915974715537,-0.7286276858810836,0.07945757849129571,0.037335728528926554,0.7489817750571011,-0.5639686770325174,0.7233133849662936,0.44080738503315525,-0.8391588506581416,0.9841514578712102,0.8855949751423187,0.9806410559065819,0.4165299699902077,0.609476179715842,0.7429154499648698,1.0,0.9946945741062503,0.8767864572046852,0.4956430769916379,-0.1878320290100482,-0.2574421169573065,0.3534575160840634,-0.12034863696165392
All-Transactions House Price Index for the United States,0.950462064527116,0.00022670747189025372,-0.7596268560805494,0.12829771949274207,0.07950896337648315,0.7252980705211837,-0.528851301948025,0.7511651822940993,0.46740647065717583,-0.8471598666385702,0.9808986477391527,0.8867939261648414,0.9699278241792956,0.3737919994545474,0.6008078710409036,0.7129709999378638,0.9946945741062503,1.0,0.840413917336523,0.5233031286411381,-0.16656302211209115,-0.23368170983608186,0.38121510669786385,-0.1000404806295837
New Privately-Owned Housing Units Started: Total Units,0.8514672430380641,0.4125745157454665,-0.4938823843584539,-0.2244395890703216,-0.261346489495331,0.8191468494158917,-0.6876620557002013,0.42356925963434033,0.33210547192343676,-0.635226210115798,0.8660469338629526,0.7316432936944045,0.9005331580383303,0.5563427481895102,0.48307360340395716,0.8740821551379746,0.8767864572046852,0.840413917336523,1.0,0.3557173128727397,-0.37659427242142895,-0.43132911591206846,0.03225697363935337,-0.3085308045796798
