,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
M2,0.8027490356967898,0.9120748827668261,0.9488501479124988,-0.9730979662226548,-0.9613439836524085,0.9690870796421494,-0.9539725398870588,-0.7356301354351573,0.2595992570640252,0.542352675486863,0.9323605744079168,0.9973560865609025,1.0,0.9781999858406262,0.7879890244106147,0.8983398031861892,0.6018047865916769,0.10309119799288462,0.920889596999052,0.5771032294307307,-0.19968452429758277,0.11886289864987304,-0.5135709218859988,0.18634866381669832
Industrial Production: Total Index,0.8209800988725565,0.9266177606530804,0.9788154310947402,-0.9577965192066766,-0.9506568495622013,0.9669134306730344,-0.9553242392122874,-0.7847915257072446,0.2907801465550393,0.5026324136356012,0.9058338757353006,0.9727133782943254,0.9781999858406262,1.0,0.7958777367639108,0.9043107150223061,0.5418257003406061,0.07384622770305756,0.895270595320623,0.5329366599769395,-0.1585537204216628,0.08669230468780892,-0.6074556211899703,0.18449123493721634
US_Manufacturing_PMI,0.5923869151269876,0.7663161931497204,0.784197062378067,-0.7536864242689115,-0.738187291177234,0.7615888248340038,-0.7582412694674354,-0.4708009562975126,-0.039599909774975954,0.23527763228454662,0.7647628075476423,0.7863971761242788,0.7879890244106147,0.7958777367639108,1.0,0.6910907808462113,0.2607583247547097,-0.12199258716883041,0.7411049239843963,0.6131829666926787,0.1492291711055166,0.41119777770144955,-0.5153807808090716,0.3242219027778814
New One Family Houses Sold,0.6966418888656747,0.9087691561464918,0.8587521386612298,-0.8324563370361394,-0.8316583561137685,0.905492843354,-0.8947868347099031,-0.8638355182075745,0.419201681511851,0.6321798458670066,0.7883461474289012,0.8852433178822899,0.8983398031861892,0.9043107150223061,0.6910907808462113,1.0,0.753820819286207,0.3242000741244392,0.8889110818438773,0.29805694207887834,-0.08716913749959494,0.03233889918637944,-0.39120178717694004,0.16117874390541476
S&P CoreLogic Case-Shiller U.S. National Home Price Index,0.3392418971764228,0.5793763543037436,0.45705424105083825,-0.48460658525275035,-0.4764053092307243,0.599432953181379,-0.605426511762574,-0.6421672642549895,0.5829882172002796,0.766717373765177,0.501350100746079,0.5810018077072434,0.6018047865916769,0.5418257003406061,0.2607583247547097,0.753820819286207,1.0,0.6151652133879907,0.689665698904942,-0.10833262901729368,-0.2827089979574223,-0.1921539424575396,0.17926813474204087,0.022645674837827135
All-Transactions House Price Index for the United States,-0.14513349482967478,0.18476992742196005,-0.0031753201682790627,-0.0421456494114854,-0.08000945435973228,0.1261652139560961,-0.11758707773680414,-0.36976936935015253,0.44694544645290835,0.5020461727440577,-0.14137774498789035,0.10863768125720846,0.10309119799288462,0.07384622770305756,-0.12199258716883041,0.3242000741244392,0.6151652133879907,1.0,0.22369179081077042,-0.28858323647584744,-0.3163438725724009,-0.4754083448677287,0.4148183538043741,-0.4611546190969175
New Privately-Owned Housing Units Started: Total Units,0.7130425552297188,0.881895812862313,0.8484231657320355,-0.8714073680167785,-0.8730685126777301,0.9191240233872091,-0.9205029668287051,-0.7216948646659412,0.36216003403675673,0.6198689439768906,0.8202279324932761,0.9155768086282317,0.920889596999052,0.895270595320623,0.7411049239843963,0.8889110818438773,0.689665698904942,0.22369179081077042,1.0,0.44096342860994453,-0.16684267486163146,0.0721483419158312,-0.36910221167818763,0.12077166373960287
GC=F,0.45907268706313675,0.4241677801753918,0.5243332523100077,-0.6470823921225232,-0.6329422263453448,0.4946245159944326,-0.45312952926366556,-0.16596689277726898,-0.3102791925169791,0.07493226914235085,0.5928105182400313,0.6010953787264528,0.5771032294307307,0.5329366599769395,0.6131829666926787,0.29805694207887834,-0.10833262901729368,-0.28858323647584744,0.44096342860994453,1.0,-0.06335560523045422,0.373593199838472,-0.4617526250902005,0.18469718166885044
CL=F,0.03726369385575766,-0.05210825489713077,-0.10394587590554155,0.2629089588038848,0.281353236844299,-0.14790403792234685,0.09805816966263604,0.0979351543198772,-0.300091445263225,-0.29637070623263795,-0.04520617996114148,-0.21054106932768152,-0.19968452429758277,-0.1585537204216628,0.1492291711055166,-0.08716913749959494,-0.2827089979574223,-0.3163438725724009,-0.16684267486163146,-0.06335560523045422,1.0,0.7598159481760354,-0.11588087255790726,0.6695501970190478
BZ=F,0.24553941230783352,0.1346412559213397,0.12137482921500216,-0.06649059347953717,-0.021217745618855564,0.0914471636185443,-0.12105729260242933,0.08812405943924284,-0.4011805360580579,-0.16388877752543368,0.3269123285283413,0.1117464659049309,0.11886289864987304,0.08669230468780892,0.41119777770144955,0.03233889918637944,-0.1921539424575396,-0.4754083448677287,0.0721483419158312,0.373593199838472,0.7598159481760354,1.0,-0.21548585877746898,0.8397978323219192
NG=F,-0.7466124113369171,-0.5711890877989657,-0.6953625449373875,0.5578087649135351,0.56579335760009,-0.5728643706350947,0.5499062066582401,0.48240281641126787,-0.13498999524131572,0.030756698475275637,-0.5314057679049697,-0.5190012301876104,-0.5135709218859988,-0.6074556211899703,-0.5153807808090716,-0.39120178717694004,0.17926813474204087,0.4148183538043741,-0.36910221167818763,-0.4617526250902005,-0.11588087255790726,-0.21548585877746898,1.0,-0.2550551233537601
RB=F,0.37787703563676756,0.17089574272928226,0.21228506127611613,-0.10967074188168455,-0.04808079481755577,0.1690864021944571,-0.21057861514532777,-0.11022908579437092,-0.18380628028090187,0.00979962584734288,0.44812593316427873,0.15917567773753516,0.18634866381669832,0.18449123493721634,0.3242219027778814,0.16117874390541476,0.022645674837827135,-0.4611546190969175,0.12077166373960287,0.18469718166885044,0.6695501970190478,0.8397978323219192,-0.2550551233537601,1.0
