,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
,Open,High,Low,Close,Volume
Date,,,,,
21/04/2011,1333.22998046875,1337.489990234375,1332.8299560546875,1337.3800048828125,3587240000
25/04/2011,1337.1400146484375,1337.550048828125,1331.469970703125,1335.25,2142130000
26/04/2011,1336.75,1349.550048828125,1336.75,1347.239990234375,3908060000
27/04/2011,1348.4300537109375,1357.489990234375,1344.25,1355.6600341796875,4051570000
28/04/2011,1353.8599853515625,1361.7099609375,1353.5999755859375,1360.47998046875,4036820000
29/04/2011,1360.1400146484375,1364.56005859375,1358.68994140625,1363.6099853515625,3479070000
02/05/2011,1365.2099609375,1370.5799560546875,1358.5899658203125,1361.219970703125,3846250000
03/05/2011,1359.760009765625,1360.8399658203125,1349.52001953125,1356.6199951171875,4223740000
04/05/2011,1355.9000244140625,1355.9000244140625,1341.5,1347.3199462890625,4223740000
05/05/2011,1344.1600341796875,1348.0,1329.1700439453125,1335.0999755859375,3846250000
06/05/2011,1340.239990234375,1354.3599853515625,1335.5799560546875,1340.199951171875,4223740000
09/05/2011,1340.199951171875,1349.43994140625,1338.6400146484375,1346.2900390625,4265250000
10/05/2011,1348.3399658203125,1359.43994140625,1348.3399658203125,1357.1600341796875,4223740000
11/05/2011,1354.510009765625,1354.510009765625,1336.3599853515625,1342.0799560546875,3846250000
12/05/2011,1339.3900146484375,1351.050048828125,1332.030029296875,1348.6500244140625,3777210000
13/05/2011,1348.68994140625,1350.469970703125,1333.3599853515625,1337.77001953125,3426660000
16/05/2011,1334.77001953125,1343.3299560546875,1327.3199462890625,1329.469970703125,3846250000
17/05/2011,1326.0999755859375,1330.4200439453125,1318.510009765625,1328.97998046875,4053970000
18/05/2011,1328.5400390625,1341.8199462890625,1326.5899658203125,1340.6800537109375,3922030000
19/05/2011,1342.4000244140625,1346.8199462890625,1336.3599853515625,1343.5999755859375,3626110000
20/05/2011,1342.0,1342.0,1330.6700439453125,1333.27001953125,4066020000
23/05/2011,1333.0699462890625,1333.0699462890625,1312.8800048828125,1317.3699951171875,3255580000
24/05/2011,1317.699951171875,1323.719970703125,1313.8699951171875,1316.280029296875,3846250000
25/05/2011,1316.3599853515625,1325.8599853515625,1311.800048828125,1320.469970703125,4109670000
26/05/2011,1320.6400146484375,1328.510009765625,1314.4100341796875,1325.68994140625,3259470000
27/05/2011,1325.68994140625,1334.6199951171875,1325.68994140625,1331.0999755859375,3124560000
31/05/2011,1331.0999755859375,1345.199951171875,1331.0999755859375,1345.199951171875,4696240000
01/06/2011,1345.199951171875,1345.199951171875,1313.7099609375,1314.550048828125,4241090000
02/06/2011,1314.550048828125,1318.030029296875,1305.6099853515625,1312.93994140625,3762170000
03/06/2011,1312.93994140625,1312.93994140625,1297.9000244140625,1300.1600341796875,3505030000
06/06/2011,1300.260009765625,1300.260009765625,1284.719970703125,1286.1700439453125,3555980000
07/06/2011,1286.31005859375,1296.219970703125,1284.739990234375,1284.93994140625,3846250000
08/06/2011,1284.6300048828125,1287.0400390625,1277.4200439453125,1279.56005859375,3970810000
09/06/2011,1279.6300048828125,1294.5400390625,1279.6300048828125,1289.0,3332510000
10/06/2011,1288.5999755859375,1288.5999755859375,1268.280029296875,1270.97998046875,3846250000
13/06/2011,1271.31005859375,1277.0400390625,1265.6400146484375,1271.8299560546875,4132520000
14/06/2011,1272.219970703125,1292.5,1272.219970703125,1287.8699951171875,3500280000
15/06/2011,1287.8699951171875,1287.8699951171875,1261.9000244140625,1265.4200439453125,4070500000
