,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Cap Weighted Composite_Index,1.0,0.8974959531358452,0.8131846560450363,-0.7594176834062594,-0.6612526931651274,0.8848067742680565,-0.9019883851112172,0.2958916752775064,-0.4513976935622214,-0.40906281640065206,0.8904339024461018,0.8868462229974733,0.8908962581297183,0.8702523089469045,0.8442232225020766,0.4115616319824329,-0.7305825389617895,-0.8346598247183615,0.6973374542404481,0.7503326600649263,0.7012953867873456,0.7843447801857968,-0.8164909541478298,0.7902572942996521
Total Vehicle Sales,0.8974959531358452,1.0,0.8431840077061559,-0.8125587067013217,-0.7591403325248873,0.9119647054257862,-0.9261919096713231,0.26316386776903816,-0.43806891538422227,-0.34028430918243724,0.8365171783841844,0.8943180811050725,0.8945067794368948,0.9221124771803769,0.8525505998267324,0.30717475538278005,-0.7893075991659877,-0.7512402728628025,0.6757436245483975,0.7736804080083485,0.6127940928031056,0.7010547911380488,-0.8588319196122304,0.6511847259296122
Domestic Auto Production,0.8131846560450363,0.8431840077061559,1.0,-0.8214858082576103,-0.8008496217099927,0.958764590055357,-0.8602835751582508,-0.0018099005162348818,-0.3332258183455509,-0.3431747310017523,0.7713816070394591,0.8557174604993618,0.8734283119535733,0.8330891083064523,0.6777810548737536,0.4805276604318801,-0.5663186614092589,-0.6169721566897493,0.8106494204490801,0.6311835365847996,0.3755982769674353,0.47236277465231874,-0.8967202318205909,0.47716139970953897
15-Year Fixed Rate Mortgage Average in the United States,-0.7594176834062594,-0.8125587067013217,-0.8214858082576103,1.0,0.9768223605839519,-0.8654730196554409,0.840712019797255,-0.19845837968413657,0.5030874862781815,0.3739867340264047,-0.8329264608427667,-0.9207646224640093,-0.9276366769317144,-0.9190222476392644,-0.7899175152274611,-0.22906193590202317,0.7608806173313134,0.6717921366862983,-0.6624738860493471,-0.8322553743858663,-0.37248441223020595,-0.5499452016689733,0.7948380789392304,-0.4835814814890388
30-Year Fixed Rate Mortgage Average in the United States,-0.6612526931651274,-0.7591403325248873,-0.8008496217099927,0.9768223605839519,1.0,-0.8300405393154916,0.7721915066837769,-0.04588969403406555,0.3720663630257492,0.3108769588300333,-0.7096602296656873,-0.8363895865529295,-0.8463295848410174,-0.8549448193566104,-0.6726815833444424,-0.2087693235228904,0.6638157022484787,0.5188527902807061,-0.630481309612617,-0.7278801656619516,-0.23777105518218258,-0.3884255753751322,0.785957133203875,-0.31405130512489265
Employment Level,0.8848067742680565,0.9119647054257862,0.958764590055357,-0.8654730196554409,-0.8300405393154916,1.0,-0.9265263943815324,0.08106961955092393,-0.3554232477578038,-0.39372264094539244,0.8443603851594889,0.9102484366414149,0.9249340608659503,0.9111343516161873,0.7675754434887114,0.47652501744582304,-0.6545907338260251,-0.7093854312052456,0.8183566014740259,0.7119027400516516,0.47345390231272505,0.5748363622456591,-0.9120291811856055,0.5692580482412273
Unemployment Rate,-0.9019883851112172,-0.9261919096713231,-0.8602835751582508,0.840712019797255,0.7721915066837769,-0.9265263943815324,1.0,-0.35505971340021314,0.5368170784489337,0.5755526726757204,-0.9074274840918989,-0.9359071165642865,-0.9414300583249982,-0.960316419145188,-0.8904171202312127,-0.25029624854620547,0.8105143832800953,0.8413663085920182,-0.6741748891165543,-0.8115971338809094,-0.6167796392824147,-0.7328969057052702,0.7961338022996363,-0.696345176345335
"Inflation, consumer prices for the United States",0.2958916752775064,0.26316386776903816,-0.0018099005162348818,-0.19845837968413657,-0.04588969403406555,0.08106961955092393,-0.35505971340021314,1.0,-0.7586785381224685,-0.48431735015051686,0.5168280857939991,0.40704208593743424,0.37391404308380877,0.356551801853526,0.6127734963218858,-0.2627199093104461,-0.6441088455860764,-0.6704588582305271,0.02736533067029002,0.5806958081746482,0.5268115900537825,0.6899123102064433,0.08410951309678115,0.5880158298473249
Federal Funds Effective Rate,-0.4513976935622214,-0.43806891538422227,-0.3332258183455509,0.5030874862781815,0.3720663630257492,-0.3554232477578038,0.5368170784489337,-0.7586785381224685,1.0,0.5407512486074357,-0.6929229229416115,-0.644316283656654,-0.6236884243793437,-0.5516607329153163,-0.7424388232480436,-0.006598243472745678,0.8034444292422424,0.7266083993739748,-0.31063035965362695,-0.7656740917420753,-0.6066848161188908,-0.757675363420015,0.18941998026811335,-0.6647432980835821
"Trade Balance: Goods and Services, Balance of Payments Basis",-0.40906281640065206,-0.34028430918243724,-0.3431747310017523,0.3739867340264047,0.3108769588300333,-0.39372264094539244,0.5755526726757204,-0.48431735015051686,0.5407512486074357,1.0,-0.5128424578506476,-0.4833285394421387,-0.4757094556053005,-0.49416288446261203,-0.5621718266876591,0.02894772330564259,0.5553640952677121,0.5707340630439125,-0.34109301710878875,-0.4726668377088932,-0.45353477906053163,-0.5100305907539723,0.22904857656526914,-0.4542102402822123
