,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,0.8904339024461018,0.8365171783841844,0.7713816070394591,-0.8329264608427667,-0.7096602296656873,0.8443603851594889,-0.9074274840918989,0.5168280857939991,-0.6929229229416115,-0.5128424578506476,1.0,0.9539188788955879,0.956378619334205,0.9194267323001506,0.9268367035689805,0.26079625028935055,-0.8294182076377993,-0.9442864518763671,0.6474698195654051,0.8939189981690617,0.6734165100983122,0.8573168789993949,-0.7021137084400937,0.846149435803099
M1,0.8868462229974733,0.8943180811050725,0.8557174604993618,-0.9207646224640093,-0.8363895865529295,0.9102484366414149,-0.9359071165642865,0.40704208593743424,-0.644316283656654,-0.4833285394421387,0.9539188788955879,1.0,0.9965691341564543,0.9637831319824207,0.9203744721336808,0.3107183721742349,-0.8538478040582352,-0.8553500189731095,0.7228092760741888,0.9135605106149713,0.5748281529611665,0.7548927112551898,-0.7876865330621342,0.7007222851619763
M2,0.8908962581297183,0.8945067794368948,0.8734283119535733,-0.9276366769317144,-0.8463295848410174,0.9249340608659503,-0.9414300583249982,0.37391404308380877,-0.6236884243793437,-0.4757094556053005,0.956378619334205,0.9965691341564543,1.0,0.9672669426224559,0.904613074041355,0.318919392552069,-0.8290699225069907,-0.850976184171335,0.7347230431869538,0.8984439441727974,0.5568109279809444,0.7392650739509972,-0.8034698624768108,0.6965757719992433
Industrial Production: Total Index,0.8702523089469045,0.9221124771803769,0.8330891083064523,-0.9190222476392644,-0.8549448193566104,0.9111343516161873,-0.960316419145188,0.356551801853526,-0.5516607329153163,-0.49416288446261203,0.9194267323001506,0.9637831319824207,0.9672669426224559,1.0,0.9142641976026897,0.20148820049817265,-0.846736732591854,-0.8220328318432844,0.6512819938877593,0.8794486548383036,0.5662362833861474,0.7227059026245456,-0.7923549271938595,0.6658519825373567
US_Manufacturing_PMI,0.8442232225020766,0.8525505998267324,0.6777810548737536,-0.7899175152274611,-0.6726815833444424,0.7675754434887114,-0.8904171202312127,0.6127734963218858,-0.7424388232480436,-0.5621718266876591,0.9268367035689805,0.9203744721336808,0.904613074041355,0.9142641976026897,1.0,0.16409305670990373,-0.9539453605359893,-0.9103329640001757,0.5647343870472065,0.9208891516214605,0.7640462804678246,0.8976455573755684,-0.6492161722506353,0.8203528935766541
New One Family Houses Sold,0.4115616319824329,0.30717475538278005,0.4805276604318801,-0.22906193590202317,-0.2087693235228904,0.47652501744582304,-0.25029624854620547,-0.2627199093104461,-0.006598243472745678,0.02894772330564259,0.26079625028935055,0.3107183721742349,0.318919392552069,0.20148820049817265,0.16409305670990373,1.0,-0.03437565412203261,-0.16928884712788328,0.7120622889939515,0.08893061778193384,0.2073234704137687,0.13486894221367174,-0.4911393974441466,0.20313203056326323
S&P CoreLogic Case-Shiller U.S. National Home Price Index,-0.7305825389617895,-0.7893075991659877,-0.5663186614092589,0.7608806173313134,0.6638157022484787,-0.6545907338260251,0.8105143832800953,-0.6441088455860764,0.8034444292422424,0.5553640952677121,-0.8294182076377993,-0.8538478040582352,-0.8290699225069907,-0.846736732591854,-0.9539453605359893,-0.03437565412203261,1.0,0.8150435636481167,-0.4425771257926683,-0.9139793073432878,-0.7264024459454196,-0.8529648717829529,0.5590027070028801,-0.7177769554174486
All-Transactions House Price Index for the United States,-0.8346598247183615,-0.7512402728628025,-0.6169721566897493,0.6717921366862983,0.5188527902807061,-0.7093854312052456,0.8413663085920182,-0.6704588582305271,0.7266083993739748,0.5707340630439125,-0.9442864518763671,-0.8553500189731095,-0.850976184171335,-0.8220328318432844,-0.9103329640001757,-0.16928884712788328,0.8150435636481167,1.0,-0.5303706960416944,-0.8393239943074082,-0.7413237788634696,-0.9016670785595942,0.5439858942428616,-0.8872176028193601
New Privately-Owned Housing Units Started: Total Units,0.6973374542404481,0.6757436245483975,0.8106494204490801,-0.6624738860493471,-0.630481309612617,0.8183566014740259,-0.6741748891165543,0.02736533067029002,-0.31063035965362695,-0.34109301710878875,0.6474698195654051,0.7228092760741888,0.7347230431869538,0.6512819938877593,0.5647343870472065,0.7120622889939515,-0.4425771257926683,-0.5303706960416944,1.0,0.5006706336685737,0.35343688465872825,0.40374909889679894,-0.760238242836521,0.4028077589282374
GC=F,0.7503326600649263,0.7736804080083485,0.6311835365847996,-0.8322553743858663,-0.7278801656619516,0.7119027400516516,-0.8115971338809094,0.5806958081746482,-0.7656740917420753,-0.4726668377088932,0.8939189981690617,0.9135605106149713,0.8984439441727974,0.8794486548383036,0.9208891516214605,0.08893061778193384,-0.9139793073432878,-0.8393239943074082,0.5006706336685737,1.0,0.6098753731317084,0.8189825257471242,-0.5837180751089839,0.7224699897272229
CL=F,0.7012953867873456,0.6127940928031056,0.3755982769674353,-0.37248441223020595,-0.23777105518218258,0.47345390231272505,-0.6167796392824147,0.5268115900537825,-0.6066848161188908,-0.45353477906053163,0.6734165100983122,0.5748281529611665,0.5568109279809444,0.5662362833861474,0.7640462804678246,0.2073234704137687,-0.7264024459454196,-0.7413237788634696,0.35343688465872825,0.6098753731317084,1.0,0.9083674557190016,-0.3965098829589125,0.8834533712110361
BZ=F,0.7843447801857968,0.7010547911380488,0.47236277465231874,-0.5499452016689733,-0.3884255753751322,0.5748363622456591,-0.7328969057052702,0.6899123102064433,-0.757675363420015,-0.5100305907539723,0.8573168789993949,0.7548927112551898,0.7392650739509972,0.7227059026245456,0.8976455573755684,0.13486894221367174,-0.8529648717829529,-0.9016670785595942,0.40374909889679894,0.8189825257471242,0.9083674557190016,1.0,-0.4614496301432791,0.9590634815783969
NG=F,-0.8164909541478298,-0.8588319196122304,-0.8967202318205909,0.7948380789392304,0.785957133203875,-0.9120291811856055,0.7961338022996363,0.08410951309678115,0.18941998026811335,0.22904857656526914,-0.7021137084400937,-0.7876865330621342,-0.8034698624768108,-0.7923549271938595,-0.6492161722506353,-0.4911393974441466,0.5590027070028801,0.5439858942428616,-0.760238242836521,-0.5837180751089839,-0.3965098829589125,-0.4614496301432791,1.0,-0.4523617654210411
RB=F,0.7902572942996521,0.6511847259296122,0.47716139970953897,-0.4835814814890388,-0.31405130512489265,0.5692580482412273,-0.696345176345335,0.5880158298473249,-0.6647432980835821,-0.4542102402822123,0.846149435803099,0.7007222851619763,0.6965757719992433,0.6658519825373567,0.8203528935766541,0.20313203056326323,-0.7177769554174486,-0.8872176028193601,0.4028077589282374,0.7224699897272229,0.8834533712110361,0.9590634815783969,-0.4523617654210411,1.0
