,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
,Open,High,Low,Close,Volume
Date,,,,,
17/02/2010,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,4259230000
18/02/2010,1099.030029296875,1108.239990234375,1097.47998046875,1106.75,3878620000
19/02/2010,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000
22/02/2010,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000
23/02/2010,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000
24/02/2010,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000
25/02/2010,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000
26/02/2010,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000
01/03/2010,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000
02/03/2010,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000
03/03/2010,1119.3599853515625,1125.6400146484375,1116.5799560546875,1118.7900390625,3951320000
04/03/2010,1119.1199951171875,1123.72998046875,1116.6600341796875,1122.969970703125,3945010000
05/03/2010,1125.1199951171875,1139.3800048828125,1125.1199951171875,1138.699951171875,4133000000
08/03/2010,1138.4000244140625,1141.050048828125,1136.77001953125,1138.5,3774680000
09/03/2010,1137.56005859375,1145.3699951171875,1134.9000244140625,1140.449951171875,5185570000
10/03/2010,1140.219970703125,1148.260009765625,1140.0899658203125,1145.6099853515625,5469120000
11/03/2010,1143.9599609375,1150.239990234375,1138.989990234375,1150.239990234375,4669060000
12/03/2010,1151.7099609375,1153.4100341796875,1146.969970703125,1149.989990234375,4928160000
15/03/2010,1148.530029296875,1150.97998046875,1141.449951171875,1150.510009765625,4164110000
16/03/2010,1150.8299560546875,1160.280029296875,1150.3499755859375,1159.4599609375,4369770000
17/03/2010,1159.93994140625,1169.8399658203125,1159.93994140625,1166.2099609375,4963200000
18/03/2010,1166.1300048828125,1167.77001953125,1161.1600341796875,1165.8299560546875,4234510000
19/03/2010,1166.6800537109375,1169.199951171875,1155.3299560546875,1159.9000244140625,5212410000
22/03/2010,1157.25,1167.8199462890625,1152.8800048828125,1165.81005859375,4261680000
23/03/2010,1166.469970703125,1174.719970703125,1163.8299560546875,1174.1700439453125,4411640000
24/03/2010,1172.699951171875,1173.0400390625,1166.010009765625,1167.719970703125,4705750000
25/03/2010,1170.030029296875,1180.68994140625,1165.0899658203125,1165.72998046875,5668900000
26/03/2010,1167.5799560546875,1173.9300537109375,1161.47998046875,1166.5899658203125,4708420000
29/03/2010,1167.7099609375,1174.8499755859375,1167.7099609375,1173.219970703125,4375580000
30/03/2010,1173.75,1177.8299560546875,1168.9200439453125,1173.27001953125,4085000000
31/03/2010,1171.75,1174.56005859375,1165.77001953125,1169.4300537109375,4484340000
01/04/2010,1171.22998046875,1181.4300537109375,1170.68994140625,1178.0999755859375,4006870000
05/04/2010,1178.7099609375,1187.72998046875,1178.7099609375,1187.43994140625,3881620000
06/04/2010,1186.010009765625,1191.800048828125,1182.77001953125,1189.43994140625,4086180000
07/04/2010,1188.22998046875,1189.5999755859375,1177.25,1182.449951171875,5101430000
08/04/2010,1181.75,1188.550048828125,1175.1199951171875,1186.43994140625,4726970000
09/04/2010,1187.469970703125,1194.6600341796875,1187.1500244140625,1194.3699951171875,4511570000
12/04/2010,1194.93994140625,1199.199951171875,1194.7099609375,1196.47998046875,4607090000
13/04/2010,1195.93994140625,1199.0400390625,1188.8199462890625,1197.300048828125,5403580000
14/04/2010,1198.68994140625,1210.6500244140625,1198.68994140625,1210.6500244140625,5760040000
15/04/2010,1210.77001953125,1213.9200439453125,1208.5,1211.6700439453125,5995330000
16/04/2010,1210.1700439453125,1210.1700439453125,1186.77001953125,1192.1300048828125,8108470000
19/04/2010,1192.06005859375,1197.8699951171875,1183.6800537109375,1197.52001953125,6597740000
20/04/2010,1199.0400390625,1208.5799560546875,1199.0400390625,1207.1700439453125,5316590000
21/04/2010,1207.1600341796875,1210.989990234375,1198.8499755859375,1205.93994140625,5724310000
22/04/2010,1202.52001953125,1210.27001953125,1190.18994140625,1208.6700439453125,6035780000
23/04/2010,1207.8699951171875,1217.280029296875,1205.0999755859375,1217.280029296875,5326060000
26/04/2010,1217.0699462890625,1219.800048828125,1211.0699462890625,1212.050048828125,5647760000
27/04/2010,1209.9200439453125,1211.3800048828125,1181.6199951171875,1183.7099609375,7454540000
28/04/2010,1184.5899658203125,1195.050048828125,1181.81005859375,1191.3599853515625,6342310000
29/04/2010,1193.300048828125,1209.3599853515625,1193.300048828125,1206.780029296875,6059410000
30/04/2010,1206.77001953125,1207.989990234375,1186.3199462890625,1186.68994140625,6048260000
03/05/2010,1188.5799560546875,1205.1300048828125,1188.5799560546875,1202.260009765625,4938050000
04/05/2010,1197.5,1197.5,1168.1199951171875,1173.5999755859375,6594720000
05/05/2010,1169.239990234375,1175.949951171875,1158.1500244140625,1165.8699951171875,6795940000
06/05/2010,1164.3800048828125,1167.5799560546875,1065.7900390625,1128.1500244140625,10617810000
07/05/2010,1127.0400390625,1135.1300048828125,1094.1500244140625,1110.8800048828125,9472910000
10/05/2010,1122.27001953125,1163.8499755859375,1122.27001953125,1159.72998046875,6893700000
11/05/2010,1156.3900146484375,1170.47998046875,1147.7099609375,1155.7900390625,5842550000
12/05/2010,1155.4300537109375,1172.8699951171875,1155.4300537109375,1171.6700439453125,5225460000
13/05/2010,1170.0400390625,1173.5699462890625,1156.1400146484375,1157.43994140625,4870640000
14/05/2010,1157.18994140625,1157.18994140625,1126.1400146484375,1135.6800537109375,6126400000
17/05/2010,1136.52001953125,1141.8800048828125,1114.9599609375,1136.93994140625,5922920000
18/05/2010,1138.780029296875,1148.6600341796875,1117.199951171875,1120.800048828125,6170840000
19/05/2010,1119.5699462890625,1124.27001953125,1100.6600341796875,1115.050048828125,6765800000
20/05/2010,1107.3399658203125,1107.3399658203125,1071.5799560546875,1071.5899658203125,8328570000
21/05/2010,1067.260009765625,1090.1600341796875,1055.9000244140625,1087.68994140625,5452130000
24/05/2010,1084.780029296875,1089.949951171875,1072.699951171875,1073.6500244140625,5224040000
25/05/2010,1067.4200439453125,1074.75,1040.780029296875,1074.030029296875,7329580000
26/05/2010,1075.510009765625,1090.75,1065.5899658203125,1067.949951171875,4521050000
27/05/2010,1074.27001953125,1103.52001953125,1074.27001953125,1103.06005859375,5698460000
28/05/2010,1102.5899658203125,1102.5899658203125,1084.780029296875,1089.4100341796875,4871210000
01/06/2010,1087.300048828125,1094.77001953125,1069.8900146484375,1070.7099609375,5271480000
02/06/2010,1073.010009765625,1098.56005859375,1072.030029296875,1098.3800048828125,5026360000
03/06/2010,1098.8199462890625,1105.6700439453125,1091.81005859375,1102.8299560546875,4995970000
04/06/2010,1098.4300537109375,1098.4300537109375,1060.5,1064.8800048828125,6180580000
07/06/2010,1065.8399658203125,1071.3599853515625,1049.8599853515625,1050.469970703125,5467560000
08/06/2010,1050.81005859375,1063.1500244140625,1042.1700439453125,1062.0,6192750000
09/06/2010,1062.75,1077.739990234375,1052.25,1055.68994140625,5983200000
10/06/2010,1058.77001953125,1087.8499755859375,1058.77001953125,1086.8399658203125,5144780000
11/06/2010,1082.6500244140625,1092.25,1077.1199951171875,1091.5999755859375,4059280000
14/06/2010,1095.0,1105.9100341796875,1089.030029296875,1089.6300048828125,4425830000
15/06/2010,1091.2099609375,1115.5899658203125,1091.2099609375,1115.22998046875,4644490000
16/06/2010,1114.02001953125,1118.739990234375,1107.1300048828125,1114.6099853515625,5002600000
17/06/2010,1115.97998046875,1117.719970703125,1105.8699951171875,1116.0400390625,4557760000
18/06/2010,1116.1600341796875,1121.010009765625,1113.9300537109375,1117.510009765625,4555360000
21/06/2010,1122.7900390625,1131.22998046875,1108.239990234375,1113.199951171875,4514360000
22/06/2010,1113.9000244140625,1118.5,1094.1800537109375,1095.31005859375,4514380000
23/06/2010,1095.5699462890625,1099.6400146484375,1085.31005859375,1092.0400390625,4526150000
24/06/2010,1090.9300537109375,1090.9300537109375,1071.5999755859375,1073.68994140625,4814830000
25/06/2010,1075.0999755859375,1083.56005859375,1067.8900146484375,1076.760009765625,5128840000
28/06/2010,1077.5,1082.5999755859375,1071.449951171875,1074.5699462890625,3896410000
29/06/2010,1071.0999755859375,1071.0999755859375,1035.1800537109375,1041.239990234375,6136700000
30/06/2010,1040.56005859375,1048.0799560546875,1028.3299560546875,1030.7099609375,5067080000
01/07/2010,1031.0999755859375,1033.5799560546875,1010.9099731445312,1027.3699951171875,6435770000
02/07/2010,1027.6500244140625,1032.949951171875,1015.9299926757812,1022.5800170898438,3968500000
06/07/2010,1028.0899658203125,1042.5,1018.3499755859375,1028.06005859375,4691240000
07/07/2010,1028.5400390625,1060.8900146484375,1028.5400390625,1060.27001953125,4931220000
08/07/2010,1062.9200439453125,1071.25,1058.239990234375,1070.25,4548460000
