Date,Cap Weighted Composite_Index
26/04/2011,27.453217283047618
27/04/2011,27.62470132448422
28/04/2011,27.622507916794078
29/04/2011,27.674759574358166
02/05/2011,27.66271828803734
03/05/2011,27.730809173393983
04/05/2011,27.61730088350864
05/05/2011,27.387693417886084
06/05/2011,27.44072713951144
09/05/2011,27.482412671418107
10/05/2011,27.650238053099507
11/05/2011,27.539461200219293
12/05/2011,27.731850390719767
13/05/2011,27.36574715439381
16/05/2011,27.041226091989
17/05/2011,27.085235493122106
18/05/2011,27.226688956062784
19/05/2011,27.233177154220364
20/05/2011,27.004697275298557
23/05/2011,26.717912248547147
24/05/2011,26.637291128590935
25/05/2011,26.74206034895063
26/05/2011,26.72286107756246
27/05/2011,26.88027297866484
31/05/2011,27.300193559630337
01/06/2011,26.83214568585502
02/06/2011,26.79516595480439
03/06/2011,26.533256487403584
06/06/2011,26.40862536163965
07/06/2011,26.201608730051948
08/06/2011,26.14606528875584
09/06/2011,26.21479536620086
10/06/2011,25.87577436950228
13/06/2011,25.937868188889514
14/06/2011,26.22094413140136
15/06/2011,25.79199424357076
16/06/2011,25.790296000660426
17/06/2011,25.800353841935255
20/06/2011,25.834091800418964
21/06/2011,26.229242791443497
22/06/2011,26.044336720359066
23/06/2011,26.267228685506215
24/06/2011,25.88184854887525
27/06/2011,26.26697442845579
28/06/2011,26.596992781433794
29/06/2011,26.620993984553245
30/06/2011,26.887346945545374
01/07/2011,27.309082857407255
05/07/2011,27.42533253688605
06/07/2011,27.60835332599906
07/07/2011,27.85316229977841
08/07/2011,27.832938160563558
11/07/2011,27.486120711894173
12/07/2011,27.303805372678056
13/07/2011,27.439061510339624
14/07/2011,27.325024709391897
15/07/2011,27.562046178162763
18/07/2011,27.602630176960943
19/07/2011,28.40385216434173
20/07/2011,28.4083641173242
21/07/2011,28.564992162126988
22/07/2011,28.815248008651604
25/07/2011,28.807142067860795
26/07/2011,28.85851770266005
27/07/2011,28.247112957028573
28/07/2011,28.29272198813903
29/07/2011,28.151318982811237
01/08/2011,28.13406770205398
02/08/2011,27.612158539001147
03/08/2011,27.786657578545935
04/08/2011,26.682477940836048
05/08/2011,26.662775440233098
08/08/2011,25.425241954493707
09/08/2011,26.37787513637454
10/08/2011,25.35707814177394
11/08/2011,26.311757989165834
12/08/2011,26.42703314828311
15/08/2011,26.95867725769154
16/08/2011,26.752261410808977
17/08/2011,26.70716841990042
18/08/2011,25.617810465244318
19/08/2011,24.90320108747878
22/08/2011,25.03195959289804
23/08/2011,25.935022805837956
24/08/2011,26.17749522999155
25/08/2011,25.869720361868346
26/08/2011,26.379496552460758
29/08/2011,27.000599664704996
30/08/2011,27.008206631269456
31/08/2011,26.927379300140288
01/09/2011,26.668949829747678
02/09/2011,26.11730906390204
06/09/2011,26.063636388331037
07/09/2011,26.547124913950938
08/09/2011,26.394002156396045
09/09/2011,25.863155646453578
12/09/2011,26.091625642623264
13/09/2011,26.369408777854908
14/09/2011,26.78957560670028
15/09/2011,27.190684084909268
16/09/2011,27.539142530536747
19/09/2011,27.678943557076025
20/09/2011,27.733928880023154
21/09/2011,27.470487257969694
22/09/2011,26.7341190553164
23/09/2011,26.914247329678805
26/09/2011,27.32519045329418
27/09/2011,27.584510177752165
28/09/2011,27.38110696000483
29/09/2011,27.37059149370099
30/09/2011,26.733215447950382
03/10/2011,26.257078790468068
04/10/2011,26.541224175006064
05/10/2011,27.000632930809957
06/10/2011,27.408558241745276
07/10/2011,27.330508232793637
10/10/2011,28.189934988049384
11/10/2011,28.29894713047631
12/10/2011,28.450019295586614
13/10/2011,28.659507452228915
14/10/2011,29.206282992431017
17/10/2011,28.77079860496532
18/10/2011,28.611814068333594
19/10/2011,27.972211672960135
20/10/2011,27.831853569742204
21/10/2011,28.20394125679318
24/10/2011,28.676173036378884
25/10/2011,28.28270677862817
26/10/2011,28.461842425587903
27/10/2011,29.07446674950669
28/10/2011,29.163744647799767
31/10/2011,28.788649393508493
01/11/2011,28.133771414662885
02/11/2011,28.360201285569897
03/11/2011,28.87652639834941
04/11/2011,28.691863624488207
07/11/2011,28.82928135071535
