lr-AdamW,step
0.001,0
0.0005,251
0.00025,502
0.000125,753
6.25e-05,1004
3.125e-05,1255
1.5625e-05,1506
7.8125e-06,1757
3.90625e-06,2008
1.953125e-06,2259
